first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Antoine,Semenyo,FWD,18,1,0,250,6,26.5,50.0,32.0,1,10.7,0,0.0,0.0
Matías,Viña,DEF,28,2,0,452,10,28.1,156.4,92.0,0,27.7,1,0.2,5.58
Illia,Zabarnyi,DEF,7,0,0,297,5,0.9,41.2,0.0,0,4.1,0,0.0,2.12
Hamed,Traorè,MID,14,0,0,425,8,218.5,84.0,36.0,0,33.8,2,0.0,2.96
Ben,Greenwood,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Max,Kinsey-Wellings,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Pontus,Jansson,DEF,29,1,0,722,14,2.5,176.2,53.0,0,23.4,2,0.0,3.61
Christian,Nørgaard,MID,71,1,6,1763,23,173.7,379.2,269.0,6,82.3,6,0.31,3.62
Ivan,Toney,FWD,182,20,4,2953,42,424.3,926.8,1240.0,35,258.7,10,0.27,5.55
David,Raya Martin,GK,166,0,0,3420,46,20.1,1125.4,4.0,20,115.2,12,0.03,4.37
Sergi,Canós Tenés,DEF,5,0,0,73,2,13.5,7.0,6.0,0,2.8,0,0.0,0.0
Josh,Dasilva,MID,81,4,2,1371,17,206.1,304.2,182.0,3,69.2,5,0.07,5.32
Kristoffer,Ajer,DEF,29,0,0,763,14,24.7,96.8,27.0,0,15.1,4,0.0,3.42
Rico,Henry,DEF,112,0,3,3240,46,401.9,444.4,197.0,4,104.5,11,0.11,3.11
Vitaly,Janelt,MID,85,3,1,2201,28,246.1,411.2,223.0,5,88.1,8,0.12,3.48
Saman,Ghoddos,MID,15,0,0,124,5,62.8,27.2,21.0,0,11.1,0,0.0,0.0
Mathias,Jensen,MID,132,5,7,2805,40,787.9,644.0,208.0,11,164.1,10,0.16,4.24
Yoane,Wissa,MID,111,7,4,1587,17,184.5,363.8,414.0,6,95.5,7,0.17,6.29
Mads,Roerslev Rasmussen,DEF,48,0,0,1101,12,120.6,167.6,46.0,0,33.4,5,0.0,3.92
Mads,Bech Sørensen,DEF,4,0,0,18,0,0.2,2.6,0.0,0,0.2,0,0.0,0.0
Ethan,Pinnock,DEF,112,3,0,2700,34,104.9,751.6,279.0,6,113.8,10,0.0,3.73
Frank,Onyeka,MID,38,0,3,837,11,89.9,125.8,106.0,0,32.3,3,0.0,4.09
Shandon,Baptiste,MID,29,0,2,600,6,144.5,107.8,54.0,0,30.7,1,0.3,4.35
Bryan,Mbeumo,FWD,150,9,9,2905,39,766.3,662.4,866.0,19,229.3,10,0.15,4.65
Charlie,Goode,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Marcus,Forss,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Dominic,Thompson,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Mads,Bidstrup,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Ellery,Balcombe,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Aaron,Hickey,DEF,63,0,3,1918,30,119.8,223.6,98.0,2,44.2,5,0.33,2.96
